simid,n,gamma,rho,psi11,psi21,alpha0,cens
1,500,1.2,-1.5,-0.3,0,-1.098612,7.7
2,500,1.2,-1.5,-0.3,0,-1.098612,2.75
3,500,1.2,-1.5,-0.3,0,0,7.7
4,500,1.2,-1.5,-0.3,0,0,2.75
5,500,1.5,-1.5,0.5,-2,-1.098612,6.5
6,500,1.5,-1.5,0.5,-2,-1.098612,2.18
7,500,1.5,-1.5,0.5,-2,0,6.5
8,500,1.5,-1.5,0.5,-2,0,2.18
9,1000,1.2,-1.5,-0.3,0,-1.098612,7.7
10,1000,1.2,-1.5,-0.3,0,-1.098612,2.75
11,1000,1.2,-1.5,-0.3,0,0,7.7
12,1000,1.2,-1.5,-0.3,0,0,2.75
13,1000,1.5,-1.5,0.5,-2,-1.098612,6.5
14,1000,1.5,-1.5,0.5,-2,-1.098612,2.18
15,1000,1.5,-1.5,0.5,-2,0,6.5
16,1000,1.5,-1.5,0.5,-2,0,2.18
